Edad;Liga;A1;A2;A3;NS1;NS2;NS3;CCP1;CCP2;CCP3;I1;I2;I3;SC1;SC2;SC3;SC4;SC5;SC6;SC7;SC8;AB1;AB2;AB3;AB4;AB5;SL1;SL2;SL3;SL4;SL5;AD1;AD2;AD3;AD4;AD5
16;0;5;5;6;6;4;4;5;5;4;4;5;4;6;6;6;6;6;6;6;5;4;4;6;6;6;5;5;4;6;4;5;6;2;4;5
15;0;7;6;6;7;7;7;5;7;5;7;7;7;7;7;7;7;6;7;7;7;4;6;6;7;7;4;4;4;4;4;7;6;6;7;7
15;0;4;4;7;7;3;5;4;6;4;2;4;2;6;7;7;6;5;6;6;5;5;6;6;6;6;4;4;3;3;4;4;4;4;5;4
20;1;2;2;5;7;3;2;3;4;3;1;1;1;6;4;6;3;4;4;4;3;7;7;1;2;2;3;3;3;4;4;1;1;1;1;1
15;0;6;7;7;7;3;7;7;7;5;6;7;7;7;6;7;7;7;7;7;7;4;7;7;7;7;7;7;5;7;5;7;7;6;7;7
16;1;7;7;7;7;7;7;5;6;6;7;7;7;5;7;7;6;7;6;7;7;5;5;5;5;5;7;7;7;7;7;7;7;7;7;7
33;1;7;7;7;7;7;7;5;6;6;7;7;7;6;7;7;7;7;7;7;7;2;3;4;3;3;7;7;6;6;7;7;7;7;7;7
34;1;7;7;7;7;7;7;5;6;6;7;7;7;6;6;2;6;7;7;7;6;3;3;4;3;3;7;7;5;5;5;7;7;7;7;7
24;1;7;7;7;7;7;7;5;6;6;7;7;7;6;6;2;7;6;6;7;7;4;4;4;4;4;6;6;7;7;6;7;7;7;7;7
15;0;7;7;7;6;5;7;4;6;6;5;7;7;5;7;7;5;6;5;6;6;6;6;6;6;5;5;7;7;7;5;7;7;7;6;7
22;1;6;7;7;7;5;7;5;5;4;5;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;6;5;3;4;5;6;7;6;6;6
17;0;7;6;7;6;5;7;6;7;6;7;7;6;7;6;6;7;5;4;7;6;4;4;6;4;3;7;7;6;7;6;6;7;6;1;6
18;0;6;6;7;7;6;5;4;5;3;3;6;5;5;4;5;6;5;6;6;5;4;4;4;4;4;6;6;4;5;4;6;6;6;6;6
19;1;6;7;6;7;6;7;5;7;6;6;7;6;6;7;7;7;7;7;7;7;3;3;6;5;5;6;6;1;3;3;7;7;7;7;4
24;1;7;7;7;5;4;6;3;6;5;6;6;6;6;6;6;6;6;6;7;7;3;3;3;3;3;5;5;3;4;5;7;7;7;7;7
